"UTC","Year","Mo","Da","Ho","Mi","Se","LatDef","LonDef","MwDef",""
"1983-10-10T22:1:41.89","1983","10","10","22","01","42","39.512","14.141","4.46",""
"1983-10-31T23:28:35.18","1983","10","31","23","28","35","39.126","15.998","4.68",""
"1983-11-8T20:11:0.14","1983","11","08","20","11","00","37.082","19.949","4.57",""
"1983-11-9T16:29:52","1983","11","09","16","29","52","44.755","10.265","5.04",""
"1983-11-30T14:25:0","1983","11","30","14","25","00","37.687","15.113","2.80",""
"1984-1-5T12:39:39","1984","01","05","12","39","39","40.087","15.719","4.09",""
"1984-3-17T14:55:5","1984","03","17","14","55","05","37.772","14.964","3.28",""
"1984-3-21T1:12:43.67","1984","03","21","01","12","44","39.419","15.229","5.21",""
"1984-4-15T3:10:45.17","1984","04","15","03","10","45","37.627","14.906","3.50",""
"1984-4-22T17:39:21","1984","04","22","17","39","21","43.558","10.229","4.61",""
"1984-4-22T19:45:41.7","1984","04","22","19","45","42","43.580","10.381","4.10",""
"1984-4-29T5:2:59","1984","04","29","05","02","59","43.262","12.525","5.62",""
"1984-4-29T5:49:38.6","1984","04","29","05","49","39","43.126","12.422","4.10",""
"1984-4-29T15:3:41.94","1984","04","29","15","03","42","43.247","12.842","4.13",""
"1984-4-30T21:4:55.3","1984","04","30","21","04","55","43.272","12.510","4.36",""
"1984-4-30T22:39:52.48","1984","04","30","22","39","52","43.239","12.565","4.48",""
"1984-5-1T22:14:22.56","1984","05","01","22","14","23","43.561","10.296","3.89",""
"1984-5-3T8:56:51","1984","05","03","08","56","51","46.067","6.550","3.70",""
"1984-5-7T17:50:0","1984","05","07","17","50","00","41.667","14.057","5.86",""
"1984-5-7T18:7:15.88","1984","05","07","18","07","16","41.644","13.863","4.47",""
"1984-5-7T18:26:49.98","1984","05","07","18","26","50","41.759","13.815","4.22",""
"1984-5-7T18:56:25.15","1984","05","07","18","56","25","41.678","13.930","3.87",""
"1984-5-7T19:11:13.18","1984","05","07","19","11","13","41.678","13.931","3.20",""
"1984-5-8T3:46:38.65","1984","05","08","03","46","39","41.671","13.820","4.33",""
"1984-5-11T10:41:49.27","1984","05","11","10","41","49","41.651","13.843","5.47",""
"1984-5-11T10:50:7","1984","05","11","10","50","07","41.756","13.903","4.79",""
"1984-5-11T11:26:15.05","1984","05","11","11","26","15","41.706","13.876","4.49",""
"1984-5-11T13:14:55.87","1984","05","11","13","14","56","41.732","13.901","4.80",""
"1984-5-11T13:38:31.43","1984","05","11","13","38","31","43.294","12.621","4.86",""
"1984-5-11T13:39:2.24","1984","05","11","13","39","02","41.732","13.898","4.50",""
"1984-5-11T16:39:18.06","1984","05","11","16","39","18","41.648","13.870","4.62",""
"1984-5-11T23:35:4.14","1984","05","11","23","35","04","41.632","13.846","4.37",""
"1984-5-12T0:8:43.43","1984","05","12","00","08","43","41.727","13.887","4.15",""
"1984-5-12T4:56:25.92","1984","05","12","04","56","26","41.670","13.869","4.05",""
"1984-5-13T11:21:45.75","1984","05","13","11","21","46","41.746","13.878","4.16",""
"1984-5-14T14:35:24.47","1984","05","14","14","35","24","41.680","13.821","4.27",""
"1984-5-21T14:7:44.67","1984","05","21","14","07","45","43.408","10.278","3.97",""
"1984-5-26T12:26:45.83","1984","05","26","12","26","46","38.531","13.467","4.14",""
"1984-5-26T15:43:16.61","1984","05","26","15","43","17","38.486","13.172","4.08",""
"1984-6-8T2:43:32.42","1984","06","08","02","43","32","46.744","10.503","3.70",""
"1984-6-17T16:51:52.2","1984","06","17","16","51","52","37.628","15.136","3.50",""
"1984-6-19T1:27:21","1984","06","19","01","27","21","41.541","14.076","4.23",""
"1984-6-19T15:19:29.91","1984","06","19","15","19","30","37.636","15.131","3.96",""
"1984-6-23T0:37:3.06","1984","06","23","00","37","03","39.495","16.668","4.22",""
"1984-6-24T22:2:44.47","1984","06","24","22","02","44","41.761","13.828","4.57",""
"1984-7-1T7:47:12.54","1984","07","01","07","47","13","41.704","13.915","4.63",""
"1984-7-1T16:46:26.62","1984","07","01","16","46","27","40.881","14.146","4.10",""
"1984-8-3T23:15:32","1984","08","03","23","15","32","44.152","10.275","3.30",""
"1984-8-22T14:53:46.46","1984","08","22","14","53","46","39.637","14.907","4.16",""
"1984-9-24T5:39:53.46","1984","09","24","05","39","53","41.366","14.576","3.88",""
"1984-10-18T11:58:51.97","1984","10","18","11","58","52","37.808","15.075","3.90",""
"1984-10-19T17:43:14.14","1984","10","19","17","43","14","37.708","15.079","4.55",""
"1984-10-22T18:24:35.83","1984","10","22","18","24","36","39.626","14.189","4.36",""
"1984-10-23T20:49:30.48","1984","10","23","20","49","30","39.804","16.721","4.07",""
"1984-10-25T1:11:52.1","1984","10","25","01","11","52","37.660","15.095","4.43",""
"1984-10-30T14:39:49.46","1984","10","30","14","39","49","39.638","15.608","4.90",""
"1984-11-5T7:56:1","1984","11","05","07","56","01","45.342","6.383","4.01",""
"1984-11-7T8:56:29.64","1984","11","07","08","56","30","37.625","15.071","3.73",""
"1984-11-9T1:43:0","1984","11","09","01","43","00","37.704","15.123","2.91",""
"1984-11-24T11:13:0","1984","11","24","11","13","00","37.798","15.068","4.08",""
"1984-12-3T18:5:34.34","1984","12","03","18","05","34","41.717","13.898","4.05",""
"1984-12-30T7:37:6.66","1984","12","30","07","37","07","39.495","13.267","4.36",""
"1985-1-23T10:10:16.55","1985","01","23","10","10","17","44.085","10.449","4.60",""
"1985-3-14T23:3:51.22","1985","03","14","23","03","51","41.592","14.211","4.37",""
"1985-3-23T6:43:56.13","1985","03","23","06","43","56","37.595","15.047","3.27",""
"1985-4-24T11:30:23.35","1985","04","24","11","30","23","38.923","15.660","4.07",""
"1985-5-1T16:57:35","1985","05","01","16","57","35","42.945","13.700","4.09",""
"1985-5-14T5:44:36.14","1985","05","14","05","44","36","38.206","15.683","3.84",""
"1985-5-19T14:40:27.04","1985","05","19","14","40","27","42.252","13.342","4.16",""
"1985-5-20T10:0:28.35","1985","05","20","10","00","28","42.297","13.353","4.51",""
"1985-5-23T1:4:16.81","1985","05","23","01","04","17","42.330","13.399","4.11",""
"1985-6-13T21:18:25.58","1985","06","13","21","18","26","37.672","14.901","3.96",""
"1985-6-27T16:56:43.29","1985","06","27","16","56","43","36.181","11.986","4.16",""
"1985-7-10T13:53:29.3","1985","07","10","13","53","29","44.558","9.672","3.76",""
"1985-7-19T0:26:8.62","1985","07","19","00","26","09","39.863","13.568","4.79",""
"1985-7-21T6:16:44.76","1985","07","21","06","16","45","44.608","9.616","3.67",""
"1985-8-8T19:5:17.01","1985","08","08","19","05","17","44.565","9.659","3.66",""
"1985-8-8T22:32:9.9","1985","08","08","22","32","10","38.325","12.811","4.21",""
"1985-8-9T21:49:48.64","1985","08","09","21","49","49","38.366","12.954","4.52",""
"1985-8-15T18:58:3.78","1985","08","15","18","58","04","44.605","9.630","4.51",""
"1985-8-25T3:39:16.65","1985","08","25","03","39","17","37.887","12.731","4.10",""
"1985-9-9T4:45:24.37","1985","09","09","04","45","24","42.887","12.242","3.81",""
"1985-9-19T4:54:26.15","1985","09","19","04","54","26","39.673","18.832","3.99",""
"1985-10-3T17:42:22.65","1985","10","03","17","42","23","37.696","16.256","4.08",""
"1985-10-10T19:26:7.88","1985","10","10","19","26","08","37.673","15.136","3.85",""
"1985-10-27T11:45:27.91","1985","10","27","11","45","28","41.705","15.854","4.10",""
"1985-11-24T6:54:4.08","1985","11","24","06","54","04","43.844","12.017","4.29",""
"1985-12-25T2:39:57.99","1985","12","25","02","39","58","37.805","15.048","4.20",""
"1985-12-26T2:34:3.38","1985","12","26","02","34","03","37.725","15.134","4.40",""
"1986-1-6T19:22:2.3","1986","01","06","19","22","02","42.680","15.421","4.14",""
"1986-1-8T0:27:20.74","1986","01","08","00","27","21","42.633","15.349","4.67",""
"1986-1-8T0:59:23.56","1986","01","08","00","59","24","42.673","15.433","4.10",""
"1986-1-8T15:4:48.8","1986","01","08","15","04","49","39.437","15.384","4.36",""
"1986-1-8T18:54:0","1986","01","08","18","54","00","37.634","14.943","3.73",""
"1986-1-11T10:0:30.26","1986","01","11","10","00","30","37.631","14.886","3.85",""
"1986-1-11T15:1:7.5","1986","01","11","15","01","08","42.652","15.417","4.71",""
"1986-1-12T6:29:54.02","1986","01","12","06","29","54","37.687","15.134","3.73",""
"1986-1-12T23:37:39.85","1986","01","12","23","37","40","37.690","15.134","3.96",""
"1986-1-18T0:16:3.39","1986","01","18","00","16","03","37.699","15.137","3.62",""
"1986-1-18T8:32:44.29","1986","01","18","08","32","44","41.535","14.218","4.06",""
"1986-1-18T21:41:34.24","1986","01","18","21","41","34","37.697","15.137","3.60",""
"1986-1-21T0:1:59.73","1986","01","21","00","01","60","37.653","14.969","3.73",""
"1986-1-26T7:33:59.79","1986","01","26","07","33","60","42.681","15.401","4.31",""
"1986-1-29T9:7:53.57","1986","01","29","09","07","54","37.613","15.026","3.96",""
"1986-2-1T22:52:30.19","1986","02","01","22","52","30","37.655","15.164","3.85",""
"1986-2-2T16:10:4.91","1986","02","02","16","10","05","37.653","15.163","4.08",""
"1986-2-22T16:55:2.78","1986","02","22","16","55","03","37.684","14.894","3.50",""
"1986-2-22T17:2:20.69","1986","02","22","17","02","21","37.673","14.911","3.50",""
"1986-3-10T16:3:55.78","1986","03","10","16","03","56","39.834","13.575","4.46",""
"1986-3-27T7:25:24.82","1986","03","27","07","25","25","45.138","15.061","3.31",""
"1986-4-1T3:55:56.44","1986","04","01","03","55","56","39.213","15.406","4.57",""
"1986-5-12T13:3:49.08","1986","05","12","13","03","49","44.596","9.624","3.80",""
"1986-6-12T1:9:45.07","1986","06","12","01","09","45","36.082","11.363","4.29",""
"1986-6-19T19:56:5.71","1986","06","19","19","56","06","38.399","13.741","3.65",""
"1986-6-22T14:7:51.16","1986","06","22","14","07","51","43.558","13.692","3.98",""
"1986-7-23T8:19:50.87","1986","07","23","08","19","51","40.628","15.746","4.61",""
"1986-8-11T22:49:5.1","1986","08","11","22","49","05","39.114","15.352","4.46",""
"1986-8-29T14:57:1.3","1986","08","29","14","57","01","46.352","12.537","4.73",""
"1986-8-29T15:0:48.6","1986","08","29","15","00","49","46.327","12.492","4.10",""
"1986-9-8T22:21:14.12","1986","09","08","22","21","14","39.446","15.626","4.26",""
"1986-9-19T12:36:45.32","1986","09","19","12","36","45","39.207","15.852","4.93",""
"1986-9-27T18:8:17.03","1986","09","27","18","08","17","38.736","15.277","5.25",""
"1986-10-1T19:53:39.71","1986","10","01","19","53","40","44.277","10.125","4.46",""
"1986-10-5T11:28:43.83","1986","10","05","11","28","44","37.741","14.878","3.27",""
"1986-10-13T5:10:0.31","1986","10","13","05","10","00","42.924","13.186","4.46",""
"1986-10-20T12:15:34.26","1986","10","20","12","15","34","43.212","13.912","4.07",""
"1986-10-29T23:18:7.29","1986","10","29","23","18","07","37.806","15.051","3.90",""
"1986-11-3T6:32:55.63","1986","11","03","06","32","56","37.720","15.108","3.40",""
"1986-11-27T15:15:58.57","1986","11","27","15","15","59","36.458","13.612","4.26",""
"1986-11-30T3:19:11.04","1986","11","30","03","19","11","38.571","14.941","4.79",""
"1986-12-4T12:50:0","1986","12","04","12","50","00","37.642","15.167","2.91",""
"1986-12-6T17:7:19.77","1986","12","06","17","07","20","44.947","11.444","4.43",""
"1986-12-16T6:22:51","1986","12","16","06","22","51","45.080","14.820","4.47",""
"1986-12-18T11:45:24","1986","12","18","11","45","24","45.180","14.810","4.40",""
"1987-1-22T5:10:50.09","1987","01","22","05","10","50","43.541","10.188","4.15",""
"1987-1-28T5:33:21.76","1987","01","28","05","33","22","40.835","15.554","4.54",""
"1987-1-29T8:6:44.42","1987","01","29","08","06","44","38.746","14.826","4.07",""
"1987-1-29T13:35:21.29","1987","01","29","13","35","21","36.392","12.746","4.08",""
"1987-2-2T16:8:44.2","1987","02","02","16","08","44","37.747","14.711","4.44",""
"1987-2-10T21:20:13.74","1987","02","10","21","20","14","44.246","10.187","4.09",""
"1987-4-4T17:38:17.97","1987","04","04","17","38","18","38.935","15.688","4.26",""
"1987-4-11T2:26:23.43","1987","04","11","02","26","23","41.655","12.693","4.35",""
"1987-4-24T2:30:27.04","1987","04","24","02","30","27","44.812","10.691","4.64",""
