"UTC","Year","Mo","Da","Ho","Mi","Se","LatDef","LonDef","MwDef",""
"1990-5-5T7:21:29.61","1990","05","05","07","21","30","40.738","15.741","5.77",""
"1990-5-5T7:38:11.02","1990","05","05","07","38","11","40.658","15.880","4.81",""
"1990-5-5T8:3:48.19","1990","05","05","08","03","48","40.646","15.886","4.04",""
"1990-5-5T19:59:57.78","1990","05","05","19","59","58","40.649","15.835","4.08",""
"1990-5-8T22:33:15.91","1990","05","08","22","33","16","43.576","12.180","3.77",""
"1990-5-8T22:37:24.26","1990","05","08","22","37","24","43.637","12.145","3.24",""
"1990-6-19T2:42:58.58","1990","06","19","02","42","59","42.036","12.948","3.82",""
"1990-6-24T5:52:30.89","1990","06","24","05","52","31","43.186","10.815","3.56",""
"1990-8-1T20:33:20.66","1990","08","01","20","33","21","38.815","14.768","4.16",""
"1990-8-14T22:44:55.54","1990","08","14","22","44","56","35.651","11.478","3.71",""
"1990-8-26T13:41:24.38","1990","08","26","13","41","24","40.465","15.728","4.03",""
"1990-8-28T19:2:52.35","1990","08","28","19","02","52","40.727","15.927","4.21",""
"1990-8-30T14:54:0","1990","08","30","14","54","00","41.081","14.753","3.20",""
"1990-9-12T2:59:44.87","1990","09","12","02","59","45","42.735","12.688","4.12",""
"1990-10-29T8:16:14.35","1990","10","29","08","16","14","36.236","14.680","4.79",""
"1990-11-11T22:16:25","1990","11","11","22","16","25","46.140","14.050","4.59",""
"1990-11-29T8:30:10.02","1990","11","29","08","30","10","39.960","15.767","4.26",""
"1990-12-13T0:24:25.68","1990","12","13","00","24","26","37.306","15.429","5.61",""
"1990-12-14T3:21:26.92","1990","12","14","03","21","27","39.354","15.351","5.30",""
"1990-12-16T13:50:28.68","1990","12","16","13","50","29","37.265","15.471","4.38",""
"1990-12-29T19:10:47.34","1990","12","29","19","10","47","36.037","11.080","4.79",""
"1991-1-7T11:42:55.44","1991","01","07","11","42","55","37.993","14.092","3.79",""
"1991-1-14T7:38:36.65","1991","01","14","07","38","37","43.781","11.853","4.26",""
"1991-2-11T15:43:43.1","1991","02","11","15","43","43","44.880","6.770","4.33",""
"1991-2-26T7:25:47.41","1991","02","26","07","25","47","40.195","13.826","5.29",""
"1991-3-30T3:4:58.52","1991","03","30","03","04","59","39.399","16.356","4.01",""
"1991-4-7T13:8:33","1991","04","07","13","08","33","37.863","14.537","4.26",""
"1991-4-18T19:24:3.06","1991","04","18","19","24","03","40.415","16.804","4.13",""
"1991-4-24T13:22:16.11","1991","04","24","13","22","16","39.260","16.722","4.04",""
"1991-5-5T6:33:35.68","1991","05","05","06","33","36","42.241","13.660","3.86",""
"1991-5-5T17:16:55.18","1991","05","05","17","16","55","40.203","15.950","4.00",""
"1991-5-9T8:57:13.17","1991","05","09","08","57","13","39.429","16.587","3.54",""
"1991-5-26T12:25:59.42","1991","05","26","12","25","59","40.689","15.821","5.08",""
"1991-6-6T6:34:38.02","1991","06","06","06","34","38","40.629","15.788","3.37",""
"1991-6-11T8:5:53.7","1991","06","11","08","05","54","46.264","12.894","4.14",""
"1991-6-15T20:58:32.56","1991","06","15","20","58","33","38.799","17.098","4.20",""
"1991-6-20T11:32:18.38","1991","06","20","11","32","18","40.791","15.466","3.71",""
"1991-6-27T8:16:22.54","1991","06","27","08","16","23","41.532","14.295","3.31",""
"1991-8-8T22:46:10.94","1991","08","08","22","46","11","35.646","11.638","4.79",""
"1991-9-7T5:39:18.55","1991","09","07","05","39","19","37.960","15.510","4.02",""
"1991-9-25T6:12:39.9","1991","09","25","06","12","40","37.982","16.014","3.30",""
"1991-9-25T14:53:44.71","1991","09","25","14","53","45","37.973","16.026","3.92",""
"1991-10-3T2:40:27.13","1991","10","03","02","40","27","38.885","15.111","4.04",""
"1991-10-5T5:14:58.1","1991","10","05","05","14","58","46.243","13.309","4.51",""
"1991-10-5T14:56:29.2","1991","10","05","14","56","29","46.263","13.308","3.48",""
"1991-10-31T9:31:18.63","1991","10","31","09","31","19","44.939","9.997","4.33",""
"1991-11-12T21:45:55.05","1991","11","12","21","45","55","42.932","13.421","3.54",""
"1991-11-20T1:54:17.6","1991","11","20","01","54","18","46.731","9.527","4.70",""
"1991-12-15T5:52:19.85","1991","12","15","05","52","20","39.163","16.073","4.26",""
"1991-12-15T20:0:50","1991","12","15","20","00","50","37.743","14.974","4.30",""
"1992-2-7T23:17:55.66","1992","02","07","23","17","56","42.624","11.952","3.76",""
"1992-2-18T3:30:9.82","1992","02","18","03","30","10","42.390","14.208","4.11",""
"1992-2-18T9:20:27.73","1992","02","18","09","20","28","42.872","12.653","3.48",""
"1992-2-21T20:50:32.4","1992","02","21","20","50","32","45.472","14.349","4.31",""
"1992-3-15T23:44:31.09","1992","03","15","23","44","31","41.371","13.989","3.78",""
"1992-3-16T5:45:35.02","1992","03","16","05","45","35","41.413","14.020","3.78",""
"1992-4-6T13:8:32.83","1992","04","06","13","08","33","37.851","14.517","4.73",""
"1992-4-17T11:59:7.29","1992","04","17","11","59","07","44.432","11.011","4.11",""
"1992-4-25T12:46:16.9","1992","04","25","12","46","17","38.589","14.930","5.12",""
"1992-5-20T1:21:13","1992","05","20","01","21","13","44.181","10.255","3.14",""
"1992-6-11T0:20:21.1","1992","06","11","00","20","21","45.880","14.980","4.06",""
"1992-6-13T9:32:13.44","1992","06","13","09","32","13","38.357","15.831","3.64",""
"1992-6-17T0:47:8.31","1992","06","17","00","47","08","45.191","7.490","3.35",""
"1992-6-25T21:27:34.64","1992","06","25","21","27","35","38.638","15.065","4.07",""
"1992-7-2T11:3:34.57","1992","07","02","11","03","35","40.670","15.499","3.23",""
"1992-7-11T17:21:56.84","1992","07","11","17","21","57","36.470","10.751","4.02",""
"1992-7-16T5:38:53.83","1992","07","16","05","38","54","42.311","14.208","4.22",""
"1992-8-4T21:54:35.68","1992","08","04","21","54","36","39.475","15.458","4.36",""
"1992-8-6T4:23:15.52","1992","08","06","04","23","16","37.350","13.178","3.94",""
"1992-8-20T0:57:23.47","1992","08","20","00","57","23","38.840","17.889","4.01",""
"1992-8-25T2:25:48.38","1992","08","25","02","25","48","42.411","13.355","4.11",""
"1992-8-28T13:5:40.24","1992","08","28","13","05","40","39.641","15.432","4.53",""
"1992-9-27T11:55:15.73","1992","09","27","11","55","16","37.809","14.588","4.16",""
"1992-10-24T18:44:48.6","1992","10","24","18","44","49","42.618","13.251","4.08",""
"1992-11-5T13:34:27.86","1992","11","05","13","34","28","41.702","15.778","4.34",""
"1992-11-24T3:47:59.81","1992","11","24","03","47","60","38.146","18.007","4.33",""
"1992-12-20T21:48:18.01","1992","12","20","21","48","18","38.376","16.059","3.82",""
"1992-12-21T23:12:18.33","1992","12","21","23","12","18","36.672","11.613","4.11",""
"1993-1-17T10:51:23.39","1993","01","17","10","51","23","43.614","12.210","4.26",""
"1993-3-1T12:43:13.04","1993","03","01","12","43","13","38.545","14.567","4.09",""
"1993-3-15T23:43:28.95","1993","03","15","23","43","29","44.431","7.364","4.06",""
"1993-5-9T1:28:7.6","1993","05","09","01","28","08","39.028","15.952","4.16",""
"1993-6-4T21:36:50.6","1993","06","04","21","36","51","43.121","12.763","4.39",""
"1993-6-5T19:16:17.02","1993","06","05","19","16","17","43.121","12.724","4.72",""
"1993-6-14T5:13:5.58","1993","06","14","05","13","06","37.696","15.114","3.50",""
"1993-6-14T12:28:36.1","1993","06","14","12","28","36","45.964","8.283","4.34",""
"1993-6-26T17:47:52.88","1993","06","26","17","47","53","38.036","14.164","4.92",""
"1993-7-10T8:59:7.5","1993","07","10","08","59","08","47.130","10.220","4.28",""
"1993-7-17T5:46:4.15","1993","07","17","05","46","04","44.213","8.243","3.88",""
"1993-7-17T10:34:59.7","1993","07","17","10","34","60","44.199","8.245","4.34",""
"1993-8-6T7:51:47.61","1993","08","06","07","51","48","43.291","10.944","4.03",""
"1993-8-10T1:14:11.45","1993","08","10","01","14","11","39.523","17.101","4.45",""
"1993-8-16T6:40:40.69","1993","08","16","06","40","41","40.601","15.566","3.67",""
"1993-8-31T0:16:40.64","1993","08","31","00","16","41","39.962","15.208","4.16",""
"1993-9-10T16:2:32.85","1993","09","10","16","02","33","35.055","12.336","5.26",""
"1993-10-12T20:21:21.27","1993","10","12","20","21","21","37.821","14.861","4.23",""
"1993-11-5T2:1:3.79","1993","11","05","02","01","04","44.194","12.205","3.99",""
"1993-11-7T23:21:11.72","1993","11","07","23","21","12","44.181","12.180","3.95",""
"1993-11-9T13:46:24.39","1993","11","09","13","46","24","44.141","12.269","3.93",""
"1993-11-17T0:29:5.22","1993","11","17","00","29","05","42.640","10.860","4.00",""
"1993-11-27T13:26:44.83","1993","11","27","13","26","45","38.862","14.858","4.79",""
"1993-12-9T18:16:50.88","1993","12","09","18","16","51","45.773","10.167","4.11",""
"1993-12-29T12:45:22.5","1993","12","29","12","45","22","39.732","15.994","4.36",""
"1994-1-5T8:49:28.4","1994","01","05","08","49","28","42.577","13.244","3.47",""
"1994-1-5T13:24:11.37","1994","01","05","13","24","11","39.163","15.177","5.82",""
"1994-1-6T12:28:53.85","1994","01","06","12","28","54","39.612","15.577","4.07",""
"1994-1-7T18:30:12.46","1994","01","07","18","30","12","40.204","17.320","4.03",""
"1994-1-20T6:59:13.49","1994","01","20","06","59","13","44.554","7.340","4.34",""
"1994-2-9T21:49:12.5","1994","02","09","21","49","12","42.804","11.927","3.55",""
"1994-3-21T21:41:1.92","1994","03","21","21","41","02","39.748","15.460","5.03",""
"1994-3-26T0:41:18.48","1994","03","26","00","41","18","38.913","16.775","4.25",""
"1994-3-31T9:41:42.8","1994","03","31","09","41","43","47.132","10.102","4.02",""
"1994-4-20T21:25:25.7","1994","04","20","21","25","26","46.338","12.538","4.12",""
"1994-4-22T20:3:55.8","1994","04","22","20","03","56","45.066","14.850","4.16",""
"1994-5-6T19:9:49.28","1994","05","06","19","09","49","37.651","14.189","4.36",""
"1994-6-2T16:41:23.61","1994","06","02","16","41","24","42.463","13.221","3.99",""
"1994-6-2T17:38:13.82","1994","06","02","17","38","14","42.476","13.226","4.21",""
"1994-7-23T20:57:31.84","1994","07","23","20","57","32","38.172","15.168","4.71",""
"1994-8-5T22:1:23.47","1994","08","05","22","01","23","41.959","13.331","4.15",""
"1994-8-7T6:31:12.68","1994","08","07","06","31","13","41.993","13.347","4.25",""
"1994-8-9T21:29:28.08","1994","08","09","21","29","28","36.215","12.895","4.86",""
"1994-10-12T4:59:13.98","1994","10","12","04","59","14","39.748","15.394","4.57",""
"1994-10-24T23:22:47.7","1994","10","24","23","22","48","45.936","11.213","4.15",""
"1994-11-2T0:16:40.7","1994","11","02","00","16","41","45.055","14.799","4.06",""
"1994-11-27T7:26:27.62","1994","11","27","07","26","28","38.382","14.845","4.08",""
"1994-12-14T8:55:59.3","1994","12","14","08","55","59","45.960","6.410","4.68",""
"1995-1-4T0:47:2.28","1995","01","04","00","47","02","44.869","7.318","3.73",""
"1995-1-24T6:53:5.48","1995","01","24","06","53","05","39.603","14.256","4.07",""
"1995-2-1T20:24:6.96","1995","02","01","20","24","07","43.663","11.182","4.93",""
"1995-2-10T8:15:45","1995","02","10","08","15","45","37.705","14.969","4.31",""
"1995-3-3T16:16:40.02","1995","03","03","16","16","40","44.366","10.006","4.20",""
"1995-3-8T8:55:8.58","1995","03","08","08","55","09","37.815","15.552","4.06",""
"1995-3-22T20:34:12.5","1995","03","22","20","34","12","38.922","16.408","3.49",""
"1995-4-11T12:6:51.62","1995","04","11","12","06","52","37.625","13.858","4.03",""
"1995-4-17T3:26:17.34","1995","04","17","03","26","17","39.601","17.080","4.06",""
"1995-4-21T8:2:56.15","1995","04","21","08","02","56","43.781","7.581","4.39",""
"1995-5-13T10:16:2.44","1995","05","13","10","16","02","43.194","15.202","4.09",""
"1995-5-15T14:17:41.48","1995","05","15","14","17","41","39.644","15.441","4.07",""
"1995-5-22T11:16:54.1","1995","05","22","11","16","54","45.630","14.280","4.27",""
"1995-5-22T12:50:31.9","1995","05","22","12","50","32","45.640","14.300","4.48",""
"1995-5-29T6:52:27.5","1995","05","29","06","52","28","38.133","12.145","4.78",""
"1995-5-29T20:44:23.74","1995","05","29","20","44","24","40.272","16.047","4.18",""
"1995-6-12T18:27:43.38","1995","06","12","18","27","43","41.865","12.519","3.79",""
"1995-7-17T12:49:15.73","1995","07","17","12","49","16","39.518","13.370","4.16",""
"1995-7-23T18:44:22.95","1995","07","23","18","44","23","38.575","14.647","4.63",""
"1995-8-8T7:53:44.72","1995","08","08","07","53","45","39.699","16.517","4.31",""
"1995-8-24T17:27:33","1995","08","24","17","27","33","44.133","10.961","4.45",""
"1995-8-27T19:42:13.49","1995","08","27","19","42","13","38.312","15.179","4.11",""
"1995-9-4T17:2:54.2","1995","09","04","17","02","54","45.700","6.200","3.58",""
"1995-9-9T22:12:17.43","1995","09","09","22","12","17","36.431","13.129","4.36",""
"1995-9-30T10:14:33.86","1995","09","30","10","14","34","41.790","15.971","5.15",""
"1995-10-5T23:51:50.1","1995","10","05","23","51","50","41.779","15.859","3.95",""
"1995-10-8T9:12:36.05","1995","10","08","09","12","36","41.836","15.843","3.48",""
"1995-10-10T6:54:21.72","1995","10","10","06","54","22","44.109","9.997","4.82",""
"1995-10-29T8:40:28.48","1995","10","29","08","40","28","35.580","11.632","4.76",""
"1995-10-29T13:0:27.69","1995","10","29","13","00","28","45.723","9.849","4.35",""
"1995-11-21T4:4:34.57","1995","11","21","04","04","35","45.066","7.427","4.07",""
"1995-12-5T1:1:5.97","1995","12","05","01","01","06","43.352","14.979","4.34",""
"1995-12-9T23:14:36.68","1995","12","09","23","14","37","44.706","7.954","4.28",""
"1995-12-27T23:44:27.69","1995","12","27","23","44","28","44.156","12.113","3.97",""
"1995-12-28T22:11:1.14","1995","12","28","22","11","01","36.540","13.473","4.11",""
"1995-12-29T0:14:15.89","1995","12","29","00","14","16","36.473","13.459","4.48",""
"1995-12-30T15:22:8.73","1995","12","30","15","22","09","43.173","13.542","4.19",""
"1995-12-31T21:29:47.6","1995","12","31","21","29","48","44.422","10.566","4.51",""
"1996-1-1T12:21:41.54","1996","01","01","12","21","42","43.061","13.445","4.20",""
"1996-1-21T12:17:14.01","1996","01","21","12","17","14","40.048","13.138","4.07",""
"1996-1-22T18:37:44.36","1996","01","22","18","37","44","43.103","13.585","3.96",""
"1996-1-22T23:14:0.09","1996","01","22","23","14","00","43.035","13.442","3.66",""
"1996-1-27T8:26:1.3","1996","01","27","08","26","01","46.314","12.575","3.90",""
"1996-2-15T5:43:41.54","1996","02","15","05","43","42","36.354","12.564","4.06",""
"1996-2-18T4:16:33.1","1996","02","18","04","16","33","44.750","6.770","3.96",""
"1996-2-25T1:20:0.36","1996","02","25","01","20","00","38.735","15.791","4.78",""
"1996-2-27T11:13:45.9","1996","02","27","11","13","46","46.309","12.577","4.27",""
"1996-2-28T6:56:32.22","1996","02","28","06","56","32","41.861","15.935","3.68",""
"1996-3-14T1:56:37.25","1996","03","14","01","56","37","44.219","11.452","3.56",""
"1996-3-31T6:8:1.1","1996","03","31","06","08","01","45.938","7.460","4.15",""
"1996-4-3T13:4:34.98","1996","04","03","13","04","35","40.661","15.454","4.90",""
"1996-4-13T13:0:22.6","1996","04","13","13","00","23","46.312","12.559","4.43",""
"1996-4-25T18:12:58.41","1996","04","25","18","12","58","36.088","12.890","4.25",""
"1996-4-27T0:38:26.81","1996","04","27","00","38","27","39.493","16.454","4.77",""
"1996-6-1T12:28:23.23","1996","06","01","12","28","23","40.523","16.879","4.06",""
"1996-6-3T4:32:48.79","1996","06","03","04","32","49","37.652","18.784","4.47",""
"1996-6-5T1:17:41.43","1996","06","05","01","17","41","40.274","15.884","3.30",""
"1996-6-28T9:57:43","1996","06","28","09","57","43","47.200","10.100","4.07",""
"1996-7-9T10:23:7.21","1996","07","09","10","23","07","42.875","14.120","4.20",""
"1996-7-10T10:25:16.64","1996","07","10","10","25","17","43.382","12.338","4.82",""
"1996-7-11T19:9:26.37","1996","07","11","19","09","26","44.153","9.941","4.06",""
"1996-7-15T0:13:30.3","1996","07","15","00","13","30","45.930","6.100","4.60",""
"1996-7-16T12:46:14.75","1996","07","16","12","46","15","40.672","15.418","3.45",""
"1996-8-6T22:20:53.33","1996","08","06","22","20","53","39.285","16.179","3.08",""
"1996-10-15T9:55:59.95","1996","10","15","09","55","60","44.798","10.678","5.38",""
"1996-10-15T10:19:44.1","1996","10","15","10","19","44","44.815","10.691","4.10",""
"1996-10-15T12:18:24.22","1996","10","15","12","18","24","44.803","10.677","4.38",""
"1996-10-16T0:24:29.1","1996","10","16","00","24","29","44.826","10.700","4.16",""
"1996-10-20T19:6:55.57","1996","10","20","19","06","56","42.559","13.263","4.36",""
"1996-10-26T4:56:54.1","1996","10","26","04","56","54","44.853","10.699","3.94",""
"1996-10-26T6:50:26.94","1996","10","26","06","50","27","44.776","10.880","3.63",""
"1996-10-27T6:10:35.36","1996","10","27","06","10","35","40.868","14.168","4.16",""
"1996-11-10T23:23:10.77","1996","11","10","23","23","11","41.675","15.198","4.35",""
"1996-11-25T19:47:22.75","1996","11","25","19","47","23","44.166","8.506","4.01",""
"1996-11-25T19:47:53.85","1996","11","25","19","47","54","44.787","10.715","4.29",""
"1996-12-2T13:1:40","1996","12","02","13","01","40","37.685","15.161","3.50",""
"1996-12-14T0:18:42.79","1996","12","14","00","18","43","37.821","13.899","4.27",""
"1996-12-16T9:9:53.08","1996","12","16","09","09","53","44.814","10.693","4.06",""
"1996-12-21T8:46:0.71","1996","12","21","08","46","01","39.997","13.045","5.33",""
"1997-3-19T23:10:50.02","1997","03","19","23","10","50","41.392","14.630","4.52",""
"1997-3-21T16:46:20.29","1997","03","21","16","46","20","42.860","11.696","4.04",""
"1997-3-25T0:46:17.22","1997","03","25","00","46","17","37.198","15.701","4.49",""
"1997-4-16T6:45:50.66","1997","04","16","06","45","51","44.501","10.716","4.06",""
"1997-4-22T3:12:3.61","1997","04","22","03","12","04","41.401","14.635","4.06",""
"1997-5-12T13:50:14.63","1997","05","12","13","50","15","42.763","12.526","4.72",""
"1997-5-12T22:13:52.5","1997","05","12","22","13","52","44.781","10.630","3.68",""
"1997-6-9T14:10:56.89","1997","06","09","14","10","57","38.604","16.177","4.27",""
"1997-7-1T12:15:4.1","1997","07","01","12","15","04","38.305","14.225","4.07",""
"1997-7-5T20:18:9.79","1997","07","05","20","18","10","37.749","16.702","3.80",""
"1997-7-8T8:13:42.92","1997","07","08","08","13","43","39.244","16.400","4.04",""
"1997-7-15T8:51:12.21","1997","07","15","08","51","12","43.035","12.864","3.34",""
"1997-7-30T16:6:37.4","1997","07","30","16","06","37","37.202","14.771","4.45",""
"1997-9-2T10:42:40.72","1997","09","02","10","42","41","37.701","15.101","3.50",""
"1997-9-3T22:7:29.7","1997","09","03","22","07","30","43.026","12.876","4.54",""
"1997-9-3T23:15:42.17","1997","09","03","23","15","42","38.377","16.231","4.38",""
"1997-9-4T0:6:8.67","1997","09","04","00","06","09","38.375","16.231","4.01",""
"1997-9-7T23:28:5.79","1997","09","07","23","28","06","43.035","12.883","4.19",""
"1997-9-9T16:54:47.5","1997","09","09","16","54","48","43.030","12.888","3.78",""
"1997-9-10T6:46:50.78","1997","09","10","06","46","51","43.031","12.892","3.85",""
"1997-9-26T0:33:12.88","1997","09","26","00","33","13","43.022","12.891","5.66",""
"1997-9-26T4:44:32.95","1997","09","26","04","44","33","43.225","12.411","4.16",""
"1997-9-26T9:33:48.59","1997","09","26","09","33","49","43.016","12.815","4.39",""
"1997-9-26T9:40:26.6","1997","09","26","09","40","27","43.014","12.853","5.97",""
"1997-9-26T9:47:37.74","1997","09","26","09","47","38","42.908","12.704","4.95",""
"1997-9-26T13:30:52.21","1997","09","26","13","30","52","43.035","12.904","4.51",""
"1997-9-26T14:54:26.98","1997","09","26","14","54","27","43.013","12.917","4.31",""
"1997-9-27T2:17:24.57","1997","09","27","02","17","25","43.095","12.892","4.07",""
"1997-9-27T4:57:15.6","1997","09","27","04","57","16","43.046","12.866","3.90",""
"1997-9-27T6:3:3.48","1997","09","27","06","03","03","43.057","12.789","4.17",""
"1997-9-27T8:8:7.92","1997","09","27","08","08","08","43.096","12.818","4.34",""
"1997-9-27T13:23:47.65","1997","09","27","13","23","48","42.919","12.871","4.16",""
"1997-9-27T17:13:3.7","1997","09","27","17","13","04","43.010","12.811","4.17",""
"1997-9-27T19:56:43.45","1997","09","27","19","56","43","43.036","12.826","4.31",""
"1997-9-28T3:51:33.05","1997","09","28","03","51","33","43.049","12.864","3.88",""
"1997-9-29T21:1:34.4","1997","09","29","21","01","34","46.779","12.200","3.95",""
"1997-10-2T4:50:13.77","1997","10","02","04","50","14","38.367","16.243","3.98",""
"1997-10-2T10:59:56.53","1997","10","02","10","59","57","43.105","12.778","4.28",""
"1997-10-2T19:38:2.29","1997","10","02","19","38","02","43.627","12.172","4.42",""
"1997-10-2T21:38:42.65","1997","10","02","21","38","43","43.611","12.150","4.34",""
"1997-10-3T8:55:22.07","1997","10","03","08","55","22","43.042","12.824","5.22",""
"1997-10-4T6:4:29.45","1997","10","04","06","04","29","42.929","12.904","4.03",""
"1997-10-4T6:49:59.51","1997","10","04","06","49","60","42.925","12.903","4.38",""
"1997-10-4T15:7:20.94","1997","10","04","15","07","21","42.916","12.917","4.40",""
"1997-10-4T16:13:32.92","1997","10","04","16","13","33","42.916","12.905","4.66",""
"1997-10-4T18:47:47.78","1997","10","04","18","47","48","42.923","12.903","4.41",""
"1997-10-6T23:24:53.29","1997","10","06","23","24","53","43.027","12.846","5.47",""
"1997-10-7T1:24:34.51","1997","10","07","01","24","35","43.037","12.845","4.17",""
"1997-10-7T4:25:55.59","1997","10","07","04","25","56","43.010","12.865","3.96",""
"1997-10-7T5:9:56.87","1997","10","07","05","09","57","43.036","12.859","4.49",""
"1997-10-7T19:56:7.98","1997","10","07","19","56","08","42.980","12.878","3.96",""
"1997-10-11T3:20:57.19","1997","10","11","03","20","57","43.104","12.789","3.96",""
"1997-10-12T11:8:36.57","1997","10","12","11","08","37","42.906","12.920","5.19",""
"1997-10-12T11:12:29.9","1997","10","12","11","12","30","42.920","12.921","4.29",""
"1997-10-12T11:14:14.12","1997","10","12","11","14","14","42.963","13.057","4.16",""
"1997-10-12T18:12:4.64","1997","10","12","18","12","05","42.894","12.928","4.02",""
"1997-10-12T21:31:8.11","1997","10","12","21","31","08","42.874","12.955","4.34",""
"1997-10-12T21:52:35.23","1997","10","12","21","52","35","42.888","12.899","4.34",""
"1997-10-13T11:1:46.86","1997","10","13","11","01","47","42.864","12.946","4.33",""
"1997-10-13T13:9:21.06","1997","10","13","13","09","21","42.861","12.939","4.36",""
"1997-10-14T15:23:10.64","1997","10","14","15","23","11","42.898","12.898","5.62",""
"1997-10-14T16:24:41.97","1997","10","14","16","24","42","42.922","12.896","4.07",""
"1997-10-14T19:34:18.55","1997","10","14","19","34","19","42.873","12.998","4.02",""
"1997-10-14T23:23:29.73","1997","10","14","23","23","30","42.956","12.872","4.40",""
"1997-10-15T11:51:46.33","1997","10","15","11","51","46","42.932","12.918","4.36",""
"1997-10-15T18:49:54.95","1997","10","15","18","49","55","43.014","12.858","3.90",""
"1997-10-15T22:53:10.54","1997","10","15","22","53","11","42.924","12.918","4.36",""
"1997-10-16T2:23:37.91","1997","10","16","02","23","38","42.921","12.941","4.34",""
"1997-10-16T4:52:55.7","1997","10","16","04","52","56","42.939","12.909","4.05",""
"1997-10-16T12:0:31.35","1997","10","16","12","00","31","43.043","12.884","4.33",""
"1997-10-16T17:31:44.42","1997","10","16","17","31","44","42.870","13.012","4.26",""
"1997-10-17T14:23:45.34","1997","10","17","14","23","45","42.875","12.966","4.24",""
"1997-10-19T16:0:17.6","1997","10","19","16","00","18","42.971","12.848","4.23",""
"1997-10-23T8:58:43.96","1997","10","23","08","58","44","43.027","12.923","3.86",""
"1997-10-25T3:8:6.08","1997","10","25","03","08","06","42.817","13.059","4.27",""
"1997-10-29T12:2:45","1997","10","29","12","02","45","37.621","15.136","3.15",""
"1997-10-31T4:23:42.8","1997","10","31","04","23","43","44.270","6.550","4.27",""
"1997-11-6T2:20:26.8","1997","11","06","02","20","27","41.988","12.769","4.19",""
"1997-11-8T15:31:53.71","1997","11","08","15","31","54","42.863","12.974","4.61",""
"1997-11-9T16:34:48.65","1997","11","09","16","34","49","42.872","12.976","3.86",""
"1997-11-9T19:7:33.27","1997","11","09","19","07","33","42.846","12.988","4.87",""
"1997-11-10T22:22:34.23","1997","11","10","22","22","34","42.826","12.964","4.00",""
"1997-11-11T7:27:56","1997","11","11","07","27","56","37.639","15.134","3.03",""
"1997-11-11T18:44:13.32","1997","11","11","18","44","13","37.637","15.137","3.38",""
"1997-11-24T19:4:55.64","1997","11","24","19","04","56","41.385","14.631","3.88",""
"1997-11-27T7:2:35.13","1997","11","27","07","02","35","42.949","12.908","4.10",""
"1997-11-30T11:24:42.43","1997","11","30","11","24","42","42.842","12.990","4.34",""
"1997-12-3T8:28:36.46","1997","12","03","08","28","36","37.700","14.975","3.38",""
"1997-12-7T6:34:24.35","1997","12","07","06","34","24","43.020","12.904","3.94",""
"1997-12-9T1:36:36.5","1997","12","09","01","36","36","46.368","13.225","2.79",""
"1997-12-13T4:30:7.71","1997","12","13","04","30","08","38.919","13.868","4.36",""
"1997-12-24T9:40:7","1997","12","24","09","40","07","37.750","14.965","4.08",""
"1997-12-24T17:53:10.12","1997","12","24","17","53","10","44.168","10.487","4.33",""
"1997-12-31T16:2:15.11","1997","12","31","16","02","15","42.848","12.998","4.30",""
"1998-1-2T7:31:33.11","1998","01","02","07","31","33","42.966","12.811","3.89",""
"1998-1-10T8:45:18","1998","01","10","08","45","18","37.747","14.940","3.96",""
"1998-1-17T12:32:46.74","1998","01","17","12","32","47","38.377","12.752","4.83",""
"1998-1-26T23:17:13.34","1998","01","26","23","17","13","42.420","16.147","4.41",""
"1998-2-7T0:59:44.54","1998","02","07","00","59","45","43.004","12.822","4.41",""
"1998-2-8T1:12:35.63","1998","02","08","01","12","36","38.133","15.828","3.91",""
"1998-2-16T13:45:19","1998","02","16","13","45","19","42.845","13.014","3.75",""
"1998-2-21T2:21:13.3","1998","02","21","02","21","13","44.777","10.723","3.93",""
"1998-3-7T3:27:4.31","1998","03","07","03","27","04","41.590","14.365","3.75",""
"1998-3-13T15:14:56.4","1998","03","13","15","14","56","45.610","14.260","4.25",""
"1998-3-21T16:45:9.21","1998","03","21","16","45","09","42.948","12.914","5.00",""
"1998-3-21T17:57:52.03","1998","03","21","17","57","52","42.954","12.915","4.02",""
"1998-3-22T13:2:24.48","1998","03","22","13","02","24","42.957","12.912","3.86",""
"1998-3-26T16:26:17.03","1998","03","26","16","26","17","43.145","12.809","5.26",""
"1998-4-3T7:26:36.97","1998","04","03","07","26","37","43.185","12.756","5.10",""
"1998-4-3T7:59:52.87","1998","04","03","07","59","53","43.193","12.755","4.28",""
"1998-4-3T8:20:42.76","1998","04","03","08","20","43","43.212","12.760","3.90",""
"1998-4-5T15:52:21.01","1998","04","05","15","52","21","43.189","12.767","4.78",""
"1998-4-7T21:36:55.3","1998","04","07","21","36","55","41.104","15.805","4.31",""
"1998-4-12T10:55:32.3","1998","04","12","10","55","32","46.310","13.630","5.64",""
"1998-4-26T5:38:5.59","1998","04","26","05","38","06","40.637","15.829","3.76",""
"1998-5-6T2:52:58.1","1998","05","06","02","52","58","46.280","13.700","4.30",""
"1998-5-12T21:46:30.46","1998","05","12","21","46","30","41.967","13.305","3.77",""
"1998-5-18T17:19:5.46","1998","05","18","17","19","05","39.295","15.111","5.41",""
"1998-5-20T9:55:56.98","1998","05","20","09","55","57","38.410","12.679","4.17",""
"1998-5-20T11:7:41.83","1998","05","20","11","07","42","43.081","10.810","4.19",""
